,Name,Price,Rating
1,Focal Utopia Open Back Over-Ear Headphones (Black),"3,990.00",3.8 out of 5 stars
2,"Bang & Olufsen Beosound Edge Wireless Multiroom Speaker, Brass-Tone (1666119)","3,500.00",4.1 out of 5 stars
3,Focal Stellia Closed-Back Circum-Aural Over-Ear Headphones (Cognac),"2,990.00",4.5 out of 5 stars
4,"Sennheiser HD 820 Over-the-Ear Audiophile Reference Headphones - Ring Radiator Drivers with Glass Reflector Technology, Sound Isolating Closed Earcups, Includes Balanced Cable, 2-Year Warranty (Black)","2,389.00",4.4 out of 5 stars
5,"Bang & Olufsen Beosound Balance Wireless Multiroom Speaker, Natural Oak","2,250.00",3.7 out of 5 stars
6,"SONY MDR-Z1R WW2 Signature, Hi-Res Headphone, Black (International Version)","1,699.00",4.2 out of 5 stars
7,"Sony IER-Z1R Signature Series in-Ear Headphones (IERZ1R),Black/Silver","1,698.00",4.3 out of 5 stars
8,HIFIMAN Arya Full-Size Over Ear Planar Magnetic Audiophile Adjustable Headphone,"1,599.00",4.8 out of 5 stars
9,Focal Clear Over-Ear High-Resolution Audiophile Headphones (Gray),"1,490.00",4.6 out of 5 stars
10,Focal Clear Professional Open-Back Over-Ear Headphones (Red/Black),"1,490.00",3.7 out of 5 stars
11,Samsung Galaxy Z Flip 5G Factory Unlocked New Android Cell Phone | US Version Smartphone | 256GB Storage | Folding Glass Technology| Long-Lasting Mobile Battery | Mystic Gray,"1,449.00",4.3 out of 5 stars
12,"weBoost Installed | Home Complete (474445) Cell Phone Signal Booster Kit | Professional Installation Included | All U.S. Carriers - Verizon, AT&T, T-Mobile, Sprint & More | FCC Approved","1,199.00",3.9 out of 5 stars
13,"Cel-Fi GO X | The Only 100 dB Single-Carrier Cell Phone Signal Booster for Homes & Offices | Verizon, AT&T, Or T-Mobile | 2 Antenna Kit","1,149.00",4.7 out of 5 stars
14,"AKG Pro Audio K812 PRO Over-Ear, Open-Back, Flat-Wire, Superior Reference Headphones","1,099.00",4.3 out of 5 stars
15,"Samsung Galaxy Note 10+ Plus (5G) Single-SIM SM-N976B 512GB (GSM Only, No CDMA) Factory Unlocked 5G Smartphone - International Version (Aura Glow)","1,049.00",4.6 out of 5 stars
16,Motorola Razr 5G | Unlocked | Made for US by Motorola | 8/256GB | 48MP Camera | 2020 | Liquid Mercury,999,3.5 out of 5 stars
